,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
110,008-006,22.3574774,22.3815796,113.99882166666669,114.0305866,0,,,31,0,0,,7.525084349697157,0,0.6020067479757726,0.0,0.6020067479757726
111,008-007,22.3574774,22.3815796,114.0305866,114.06235153333334,0,,,24,0,0,,5.82587175460425,0,0.46606974036834004,0.0,0.46606974036834004
112,008-008,22.3574774,22.3815796,114.06235153333334,114.09411646666666,0,,,14,0,0,,3.398425190185813,0,0.27187401521486504,0.0,0.27187401521486504
113,008-009,22.3574774,22.3815796,114.09411646666666,114.1258814,11,3.5545454545454547,128.1818181818182,126,5,14,Tsuen Wan District,24.372907597172343,1,1.9498326077737875,12.611537753638338,14.561370361412125
114,008-010,22.3574774,22.3815796,114.1258814,114.15764633333332,10,3.69,60.8,104,1,7,,24.014878259998277,1,1.921190260799862,12.611537753638338,14.5327280144382
115,008-011,22.3574774,22.3815796,114.15764633333332,114.18941126666668,2,3.45,152.5,82,2,3,,17.412454583940498,1,1.3929963667152399,12.611537753638338,14.004534120353577
116,008-012,22.3574774,22.3815796,114.18941126666668,114.2211762,0,,,42,1,1,,8.947541256394649,0,0.7158033005115719,0.0,0.7158033005115719
117,008-013,22.3574774,22.3815796,114.2211762,114.25294113333334,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
118,008-014,22.3574774,22.3815796,114.25294113333334,114.28470606666669,0,,,15,0,0,,3.641169846627657,0,0.2912935877302126,0.0,0.2912935877302126
119,008-015,22.3574774,22.3815796,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
120,009-001,22.3815796,22.4056818,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
121,009-002,22.3815796,22.4056818,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
122,009-003,22.3815796,22.4056818,113.90352686666668,113.9352918,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
123,009-004,22.3815796,22.4056818,113.9352918,113.96705673333334,0,,,11,0,3,,2.678775372964938,0,0.21430202983719504,0.0,0.21430202983719504
124,009-005,22.3815796,22.4056818,113.96705673333334,113.99882166666669,0,,,73,1,18,Tuen Mun,16.521269134684864,0,1.3217015307747892,0.0,1.3217015307747892
125,009-006,22.3815796,22.4056818,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
126,009-007,22.3815796,22.4056818,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
127,009-008,22.3815796,22.4056818,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
128,009-009,22.3815796,22.4056818,114.09411646666666,114.1258814,0,,,11,0,0,,2.6701912208602816,0,0.21361529766882253,0.0,0.21361529766882253
129,009-010,22.3815796,22.4056818,114.1258814,114.15764633333332,0,,,2,0,0,,0.4854893128836876,0,0.03883914503069501,0.0,0.03883914503069501
130,009-011,22.3815796,22.4056818,114.15764633333332,114.18941126666668,0,,,3,1,0,,-0.5223617288721429,0,-0.041788938309771435,0.0,-0.041788938309771435
131,009-012,22.3815796,22.4056818,114.18941126666668,114.2211762,1,3.8,60.0,70,4,13,Sha Tin,12.02694115059188,1,0.9621552920473504,12.611537753638338,13.573693045685689
132,009-013,22.3815796,22.4056818,114.2211762,114.25294113333334,0,,,2,0,1,,0.4883506969185731,0,0.03906805575348585,0.0,0.03906805575348585
133,009-014,22.3815796,22.4056818,114.25294113333334,114.28470606666669,0,,,22,0,0,Sai Kung Area,5.340382441720563,0,0.42723059533764507,0.0,0.42723059533764507
